date,supply_side_fees
2020-10-30,0.00
2020-10-31,12870.03
2020-11-01,8653.89
2020-11-02,13630.26
2020-11-03,17909.25
2020-11-04,16600.95
2020-11-05,15413.28
2020-11-06,32010.31
2020-11-07,22586.74
2020-11-08,21973.61
2020-11-09,13391.66
2020-11-10,24645.02
2020-11-11,14716.90
2020-11-12,15149.00
2020-11-13,20083.82
2020-11-14,23180.99
2020-11-15,108455.88
2020-11-16,20140.49
2020-11-17,25593.38
2020-11-18,30493.59
2020-11-19,35805.36
2020-11-20,28393.20
2020-11-21,25583.61
2020-11-22,22609.64
2020-11-23,27289.13
2020-11-24,26080.24
2020-11-25,19523.56
2020-11-26,14148.26
2020-11-27,48956.78
2020-11-28,15858.07
2020-11-29,15102.59
2020-11-30,10394.46
2020-12-01,49993.19
2020-12-02,23412.30
2020-12-03,20997.11
2020-12-04,20024.04
2020-12-05,19773.06
2020-12-06,25199.30
2020-12-07,14909.54
2020-12-08,19260.88
2020-12-09,17025.01
2020-12-10,20863.70
2020-12-11,26913.81
2020-12-12,15436.20
2020-12-13,26820.97
2020-12-14,13615.12
2020-12-15,15345.78
2020-12-16,14009.37
2020-12-17,23340.17
2020-12-18,22215.96
2020-12-19,39497.39
2020-12-20,15664.32
2020-12-21,14398.53
2020-12-22,26108.35
2020-12-23,50521.97
2020-12-24,31645.20
2020-12-25,29973.88
2020-12-26,21410.52
2020-12-27,28446.53
2020-12-28,40957.96
2020-12-29,36970.55
2020-12-30,26502.33
2020-12-31,71287.96
2021-01-01,41190.17
2021-01-02,34708.45
2021-01-03,123467.64
2021-01-04,50627.66
2021-01-05,76945.87
2021-01-06,46102.16
2021-01-07,63342.41
2021-01-08,59407.36
2021-01-09,58889.46
2021-01-10,44955.97
2021-01-11,44381.59
2021-01-12,71482.06
2021-01-13,54105.01
2021-01-14,39514.11
2021-01-15,73267.35
2021-01-16,57700.01
2021-01-17,47363.23
2021-01-18,42184.80
2021-01-19,49618.66
2021-01-20,69912.06
2021-01-21,53704.43
2021-01-22,69391.78
2021-01-23,122452.16
2021-01-24,60398.96
2021-01-25,61242.88
2021-01-26,83401.32
2021-01-27,74390.91
2021-01-28,64460.87
2021-01-29,61627.30
2021-01-30,92575.55
2021-01-31,45748.60
2021-02-01,59611.04
2021-02-02,63865.58
2021-02-03,72026.26
2021-02-04,58367.71
2021-02-05,76363.37
2021-02-06,78582.46
2021-02-07,77256.19
2021-02-08,81633.97
2021-02-09,98250.06
2021-02-10,92620.01
2021-02-11,111417.96
2021-02-12,125241.86
2021-02-13,75335.18
2021-02-14,86673.16
2021-02-15,95198.20
2021-02-16,82566.31
2021-02-17,83001.41
2021-02-18,106569.01
2021-02-19,107596.97
2021-02-20,104953.63
2021-02-21,124494.21
2021-02-22,103186.30
2021-02-23,134070.11
2021-02-24,130244.42
2021-02-25,98331.38
2021-02-26,210756.60
2021-02-27,116002.35
2021-02-28,96018.58
2021-03-01,144313.23
2021-03-02,118454.45
2021-03-03,124173.92
2021-03-04,157497.53
2021-03-05,136326.19
2021-03-06,129312.61
2021-03-07,119570.41
2021-03-08,281516.24
2021-03-09,125678.24
2021-03-10,143673.69
2021-03-11,117607.05
2021-03-12,120422.39
2021-03-13,170714.46
2021-03-14,116237.19
2021-03-15,105853.22
2021-03-16,109479.53
2021-03-17,102344.17
2021-03-18,86614.44
2021-03-19,174146.39
2021-03-20,103479.10
2021-03-21,93309.19
2021-03-22,109435.40
2021-03-23,114372.28
2021-03-24,103456.82
2021-03-25,187831.44
2021-03-26,110766.62
2021-03-27,140868.18
2021-03-28,100619.35
2021-03-29,102115.46
2021-03-30,122508.23
2021-03-31,120030.29
2021-04-01,144918.52
2021-04-02,131677.87
2021-04-03,138017.56
2021-04-04,174868.08
2021-04-05,119670.80
2021-04-06,134819.81
2021-04-07,100206.79
2021-04-08,201269.23
2021-04-09,170513.83
2021-04-10,167728.67
2021-04-11,189994.28
2021-04-12,142425.18
2021-04-13,190417.94
